#GENE	1_S31	3_S32	4_S33	6_S34
Gm13771	3	2	2	2
Gm13772	0	0	0	0
Gm13773	0	0	0	0
Gm13775	0	0	0	0
Gm13776	0	1	0	1
Gm13777	3	4	0	0
Gm13778	16	16	8	22
Gm13780	0	0	0	0
Gm13781	0	0	1	0
Gm13782	0	1	1	1
Gm13783	0	2	1	2
Gm13784	5	0	3	4
Gm13785	3	0	2	2
Gm13786	0	0	1	0
Gm13787	2	0	2	0
Gm13788	0	0	0	0
Gm13790	0	1	2	0
Gm13791	0	0	1	0
Gm13792	0	0	0	0
Gm13793	0	0	0	0
Gm13794	0	0	0	0
Gm13797	0	0	0	0
Gm13798	0	0	0	0
Gm13799	0	0	0	0
Gm13801	0	0	0	0
Gm13802	0	0	2	0
Gm13803	14	13	16	11
Gm13804	0	0	0	0
Gm13806	0	0	0	0
Gm13807	12	14	9	19
Gm13808	0	0	0	0
Gm13809	0	0	0	0
Gm13810	0	0	0	0
Gm13811	0	0	0	0
Gm13812	0	0	0	0
Gm13813	0	0	0	0
Gm13814	13	5	6	23
Gm13815	0	0	0	0
Gm13816	0	1	1	1
Gm13817	0	0	0	0
Gm13818	0	0	4	0
Gm13821	2	0	0	0
Gm13822	13	11	20	16
Gm13823	0	0	0	0
Gm13827	0	0	1	3
Gm13828	0	0	0	0
Gm13829	0	0	0	1
Gm13830	8	12	8	13
Gm13831	3	1	6	1
Gm13832	3	4	10	2
Gm13833	6	3	1	2
Gm13835	80	70	65	67
Gm13836	0	1	0	1
Gm13837	0	0	0	0
Gm13838	0	0	0	1
Gm13839	0	0	0	0
Gm13840	0	0	0	1
Gm13841	0	3	2	0
Gm13842	0	2	0	1
Gm13844	1	0	1	0
Gm13848	0	3	1	0
Gm13849	0	0	0	0
Gm13850	0	0	0	0
Gm13852	0	0	0	0
Gm13853	1	0	0	0
Gm13854	0	0	0	0
Gm13855	5	2	1	0
Gm13856	3	1	6	5
Gm13857	4	1	1	0
Gm13858	3	1	3	3
Gm13859	2	1	4	3
Gm13860	0	1	2	0
Gm13861	1	3	4	6
Gm13862	0	0	1	0
Gm13863	2	1	1	3
Gm13864	11	2	6	9
Gm13865	0	0	0	0
Gm13866	0	0	0	0
Gm13867	0	0	0	0
Gm13868	1	3	11	5
Gm13869	0	0	0	0
Gm13870	0	0	0	1
Gm13871	0	0	0	0
Gm13872	0	0	0	0
Gm13873	0	0	0	0
Gm13874	0	0	0	0
Gm13875	0	0	0	0
Gm13876	0	0	0	0
Gm13877	0	0	0	0
Gm13878	0	0	1	0
Gm13879	0	0	0	0
Gm13880	0	3	5	5
Gm13881	0	1	0	0
Gm13882	2	6	3	4
Gm13883	0	0	1	0
Gm13884	0	0	0	0
Gm13885	0	0	0	1
Gm13886	6	6	30	3
Gm13887	0	2	1	0
Gm13888	0	0	0	0
Gm13889	262	290	256	228
Gm13890	0	0	0	0
Gm13898	2	0	0	1
Gm13899	1	0	2	0
Gm13900	0	0	0	0
Gm13901	0	0	0	0
Gm13902	1	0	0	2
Gm13903	0	0	0	0
Gm13904	1	1	1	0
Gm13905	0	0	0	0
Gm13912	0	0	0	0
Gm13913	0	0	0	0
Gm13914	0	0	0	0
Gm13915	1	0	0	0
Gm13916	0	0	0	0
Gm13919	2	0	1	1
Gm13920	0	1	1	1
Gm13921	1	1	1	0
Gm13922	0	0	0	0
Gm13923	0	0	0	0
Gm13924	0	0	0	0
Gm13925	0	0	0	0
Gm13928	0	0	0	0
Gm13929	0	0	0	0
Gm13930	0	0	0	0
Gm13932	2	0	2	0
Gm13935	0	0	0	0
Gm13936	0	1	0	0
Gm13937	0	0	0	1
Gm13938	0	0	0	0
Gm13940	0	1	0	0
Gm13941	0	0	0	0
Gm13942	3	0	0	0
Gm13943	0	0	0	0
Gm13944	51	45	27	27
Gm13954	0	0	3	6
Gm13961	0	1	1	1
Gm13962	3	0	1	0
Gm13963	0	0	3	1
Gm13964	17	11	16	17
Gm13966	7	2	5	4
Gm13967	0	0	0	0
Gm13972	0	0	0	0
Gm13973	0	0	0	0
Gm13974	0	0	0	0
Gm13975	0	0	0	0
Gm13976	0	0	0	0
Gm13977	2	2	2	0
Gm13981	0	0	0	2
Gm13982	0	0	0	0
Gm13983	0	0	1	1
Gm13985	0	0	2	2
Gm13986	36	27	22	17
Gm13988	1	1	1	2
Gm13990	65	43	63	56
Gm13991	3	6	7	2
Gm13992	0	0	0	0
Gm13994	0	0	0	0
Gm13996	0	0	0	1
Gm13997	0	1	0	0
Gm13998	0	0	0	0
Gm13999	0	1	2	2
Gm14000	0	2	1	2
Gm14001	1	2	3	3
Gm14002	5	1	2	2
Gm14003	0	0	0	0
Gm14004	50	19	20	16
Gm14006	0	0	0	0
Gm14007	1	0	0	0
Gm14008	16	9	21	12
Gm14009	0	0	0	0
Gm1401	0	0	0	0
Gm14010	0	0	0	0
Gm14011	0	0	0	0
Gm14013	0	0	0	0
Gm14014	0	2	1	2
Gm14015	4	1	1	1
Gm14016	1	0	1	0
Gm14017	6	5	1	4
Gm14018	13	14	22	12
Gm14019	4	0	1	0
Gm14020	0	2	1	1
Gm14021	0	0	0	1
Gm14022	22	20	16	18
Gm14023	10	6	5	7
Gm14024	0	0	0	0
Gm14026	12	16	17	6
Gm14027	16	26	30	21
Gm14028	0	0	0	0
Gm14029	1	0	0	0
Gm14032	0	0	0	0
Gm14033	12	6	19	15
Gm14034	1	0	0	0
Gm14035	0	0	0	0
Gm14036	0	0	0	3
Gm14037	1	0	0	0
Gm14038	11	8	6	2
Gm14039	0	0	0	0
Gm14040	0	0	0	0
Gm14041	0	0	0	0
Gm14042	6	1	1	7
Gm14044	1	2	2	1
Gm14046	11	3	0	3
Gm14048	0	0	0	0
Gm14049	0	0	2	2
Gm14050	0	0	0	0
Gm14051	0	0	1	0
Gm14052	5	1	4	5
Gm14053	0	0	0	0
Gm14054	0	0	0	0
Gm14055	9	3	7	6
Gm14056	0	1	0	0
Gm14057	40	40	20	25
Gm14058	0	0	1	0
Gm14061	4	2	2	3
Gm14062	0	0	0	0
Gm14064	0	0	0	0
Gm14065	0	0	0	0
Gm14066	1	1	5	2
Gm14067	0	0	0	0
Gm14069	0	0	0	0
Gm14070	0	1	0	0
Gm14071	0	0	0	0
Gm14073	0	0	0	0
Gm14082	0	0	0	0
Gm14083	0	1	0	0
Gm14086	0	0	0	0
Gm14089	0	0	0	0
Gm14091	31	20	26	33
Gm14092	0	0	0	0
Gm14093	0	0	0	0
Gm14094	41	1	2	0
Gm14095	0	0	0	0
Gm14097	8	5	26	28
Gm14098	0	0	0	0
Gm14099	0	0	0	0
Gm14100	0	0	0	0
Gm14101	0	0	0	0
Gm14102	0	0	1	1
Gm14103	0	0	0	0
Gm14104	1	0	1	1
Gm14106	0	0	0	0
Gm14107	0	0	0	0
Gm14108	0	1	2	0
Gm14109	0	0	0	0
Gm14110	0	0	0	0
Gm14111	2	2	3	9
Gm14113	0	0	0	0
Gm14114	0	2	0	1
Gm14115	0	1	0	0
Gm14116	0	0	0	0
Gm14117	16	5	8	7
Gm14119	0	0	0	0
Gm14120	0	0	0	0
Gm14121	5	8	8	7
Gm14122	14	11	17	25
Gm14123	0	0	0	1
Gm14124	19	4	19	5
Gm14125	0	1	0	0
Gm14126	0	1	0	0
Gm14127	5	2	4	0
Gm14128	1	0	0	0
Gm14129	0	0	0	0
Gm14130	15	8	9	10
Gm14131	5	4	1	6
Gm14132	0	0	1	0
Gm14133	5	2	7	2
Gm14135	0	0	0	0
Gm14137	42	25	26	30
Gm14138	1	0	2	1
Gm14139	22	20	27	24
Gm14140	0	0	1	0
Gm14141	2	0	0	1
Gm14142	1	2	4	3
Gm14143	0	0	1	0
Gm14144	0	0	0	0
Gm14145	0	0	0	0
Gm14146	0	0	0	0
Gm14147	0	0	0	0
Gm14148	6	13	3	4
Gm14149	1	0	0	1
Gm14150	57	34	50	73
Gm14151	0	0	0	0
Gm14152	0	0	0	0
Gm14153	0	0	0	0
Gm14154	3	4	2	2
Gm14155	0	0	0	0
Gm14156	0	0	1	1
Gm14158	14	12	13	8
Gm14159	0	1	0	0
Gm14161	1	0	1	0
Gm14162	0	0	1	1
Gm14163	0	0	0	0
Gm14164	20	13	27	19
Gm14165	202	214	163	185
Gm14167	17	9	9	7
Gm14168	11	7	17	12
Gm14169	1	1	1	0
Gm14170	0	1	0	1
Gm14172	0	0	0	0
Gm14173	0	2	2	1
Gm14174	1	0	0	0
Gm14175	1	0	0	1
Gm14176	11	11	11	13
Gm14180	0	0	0	0
Gm14182	0	0	0	0
Gm14186	0	0	0	0
Gm14188	0	0	0	0
Gm14190	0	0	0	0
Gm14193	0	0	0	0
Gm14197	2	0	1	0
Gm14198	0	0	0	0
Gm14199	0	0	0	0
Gm14200	3	0	1	1
Gm14201	0	0	0	0
Gm14202	0	0	0	0
Gm14204	0	0	0	0
Gm14205	0	0	0	0
Gm14206	1	0	0	0
Gm14207	11	9	10	5
Gm14208	0	0	0	0
Gm14209	2	0	0	0
Gm14210	2	0	0	0
Gm14211	0	0	0	1
Gm14212	1	0	1	2
Gm14213	0	0	0	0
Gm14214	0	0	0	0
Gm14215	0	0	0	0
Gm14216	1	0	0	0
Gm14218	0	0	0	0
Gm14219	0	0	0	0
Gm14220	0	0	0	0
Gm14221	24	37	37	30
Gm14222	13	5	3	4
Gm14223	0	0	1	0
Gm14224	0	1	0	0
Gm14225	1	1	1	0
Gm14226	38	24	23	16
Gm14227	3	1	3	3
Gm14228	1	0	0	0
Gm14229	0	0	0	0
Gm14230	269	255	251	288
Gm14231	14	8	32	18
Gm14232	0	0	0	3
Gm14233	0	0	0	0
Gm14234	0	0	0	0
Gm14235	0	0	0	2
Gm14236	1	4	4	7
Gm14237	0	0	1	3
Gm14238	0	0	0	0
Gm14239	5	1	6	7
Gm14240	0	0	0	0
Gm14241	0	0	0	0
Gm14242	0	0	0	0
Gm14243	3	3	6	3
Gm14244	0	0	0	0
Gm14245	0	0	0	0
Gm14246	0	0	0	0
Gm14247	0	0	0	0
Gm14248	0	0	0	0
Gm14249	4	3	1	0
Gm14250	0	0	0	0
Gm14251	1	2	0	2
Gm14252	0	0	1	6
Gm14253	20	11	10	9
Gm14254	0	0	0	0
Gm14255	0	0	0	0
Gm14257	0	0	1	0
Gm14258	0	0	1	0
Gm14260	0	0	2	0
Gm14261	0	0	0	1
Gm14262	0	0	0	0
Gm14263	4	1	1	2
Gm14264	3	0	1	1
Gm14266	0	0	0	0
Gm14267	11	14	17	13
Gm14268	0	0	0	0
Gm14269	13	10	18	13
Gm14270	34	29	27	35
Gm14271	0	0	0	0
Gm14272	10	7	11	8
Gm14273	0	0	0	0
Gm14274	2	0	0	0
Gm14275	1	0	1	0
Gm14276	214	164	134	184
Gm14277	1	0	1	3
Gm14278	0	1	0	0
Gm14279	2	2	1	1
Gm14280	0	0	0	0
Gm14281	0	0	0	0
Gm14282	0	0	0	0
Gm14283	0	0	0	0
Gm14285	0	0	1	0
Gm14286	61	20	41	46
Gm14287	0	27	41	1
Gm14288	0	0	0	0
Gm14291	7	11	9	8
Gm14292	9	46	56	27
Gm14293	0	0	0	0
Gm14294	0	0	0	0
Gm14295	1	2	2	0
Gm14296	0	0	0	0
Gm14297	0	0	0	0
Gm14298	0	0	0	0
Gm14299	0	0	0	0
Gm14300	0	0	0	0
Gm14301	0	0	0	0
Gm14302	0	2	0	0
Gm14303	465	356	319	369
Gm14304	0	0	2	0
Gm14305	2	1	0	0
Gm14307	0	0	0	0
Gm14308	0	0	0	0
Gm14314	0	0	0	0
Gm14317	0	0	0	1
Gm14319	0	2	2	1
Gm14320	4	4	2	9
Gm14321	39	29	29	20
Gm14322	11	4	5	14
Gm14324	0	0	0	0
Gm14325	144	152	202	184
Gm14326	93	66	73	97
Gm14327	7	4	9	4
Gm14328	11	4	9	10
Gm14329	0	1	0	0
Gm14330	0	0	0	0
Gm14331	0	0	0	0
Gm14332	0	0	0	0
Gm14333	0	0	0	0
Gm14334	0	0	0	0
Gm14335	11	8	9	16
Gm14336	1	7	6	12
Gm14339	0	0	0	0
Gm14340	0	0	0	0
Gm14341	0	1	1	0
Gm14342	1	0	0	0
Gm14343	0	0	0	0
Gm14344	1	0	2	0
Gm14348	0	0	0	0
Gm14349	0	0	0	0
Gm14350	0	0	0	0
Gm14352	0	0	0	0
Gm14353	0	0	0	0
Gm14355	0	0	0	0
Gm14356	0	0	0	0
Gm14357	0	0	0	0
Gm14358	0	0	0	0
Gm14359	0	0	0	0
Gm14360	0	0	0	0
Gm14361	0	0	0	0
Gm14362	0	0	0	0
Gm14363	0	0	0	0
Gm14364	0	0	0	0
Gm14365	0	0	0	0
Gm14366	0	0	0	0
Gm14367	0	0	0	0
Gm14368	0	0	0	0
Gm14369	0	0	0	0
Gm14370	0	0	0	0
Gm14371	0	1	1	0
Gm14372	0	0	1	1
Gm14373	7	4	2	3
Gm14375	0	0	0	0
Gm14376	2	3	3	0
Gm14377	3	2	3	0
Gm14379	17	13	12	8
Gm14380	0	0	0	0
Gm14381	0	0	0	0
Gm14382	2	1	0	0
Gm14383	2	0	0	1
Gm14385	0	0	0	0
Gm14387	1	2	3	1
Gm14388	12	9	4	5
Gm14389	0	0	0	0
Gm14390	0	0	0	0
Gm14391	4	2	1	0
Gm14392	0	1	3	0
Gm14393	0	0	1	1
Gm14394	0	0	0	0
Gm14395	0	0	0	0
Gm14396	10	7	22	11
Gm14397	0	0	0	0
Gm14398	9	9	4	12
Gm14399	14	14	12	10
Gm14400	0	0	3	2
Gm14401	1	1	3	1
Gm14402	0	0	0	0
Gm14403	60	49	59	77
Gm14404	0	0	0	0
Gm14405	0	0	0	0
Gm14406	3	3	2	1
Gm14407	0	0	0	0
Gm14408	0	0	0	0
Gm14409	8	3	5	5
Gm14410	44	36	27	36
Gm14411	0	2	1	0
Gm14412	20	37	26	43
Gm14413	0	0	0	0
Gm14414	1	1	6	0
Gm14415	0	0	1	0
Gm14416	0	0	0	0
Gm14417	0	0	0	0
Gm14418	5	12	7	14
Gm14419	2	1	5	2
Gm14421	4	1	1	0
Gm14424	0	0	1	0
Gm14425	4	0	1	2
Gm14426	0	0	0	0
Gm14427	1	0	0	0
Gm14428	0	0	0	0
Gm14429	0	1	1	0
Gm14434	0	0	0	0
Gm14437	0	1	0	0
Gm14438	0	0	0	0
Gm14439	0	0	0	0
Gm14440	0	0	0	0
Gm14441	2	0	2	1
Gm14442	0	0	0	0
Gm14443	1	0	4	1
Gm14444	8	2	2	2
Gm14445	0	0	0	0
Gm14448	0	0	0	0
Gm14450	0	0	0	0
Gm14451	0	0	0	0
Gm14452	0	0	0	0
Gm14453	5	12	11	7
Gm14455	2	2	0	1
Gm14457	0	0	0	0
Gm14459	0	0	0	0
Gm14460	0	0	0	0
Gm14461	0	0	0	0
Gm14463	0	0	0	0
Gm14464	0	1	0	0
Gm14465	0	0	0	0
Gm14466	0	0	0	0
Gm14469	0	0	0	0
Gm14470	0	0	0	0
Gm14471	6	2	0	0
Gm14472	0	0	1	5
Gm14473	0	0	1	1
Gm14480	3	2	2	0
Gm14481	0	0	0	0
Gm14485	0	0	0	0
Gm14486	19	18	22	21
Gm14487	2	1	2	0
Gm14488	2	2	3	1
Gm14489	0	2	2	3
Gm14491	0	0	0	0
Gm14493	0	0	0	0
Gm14494	33	32	20	17
Gm14496	0	0	0	0
Gm14497	0	0	0	0
Gm14500	0	0	0	0
Gm14502	0	2	2	0
Gm14503	0	0	0	0
Gm14504	0	0	0	0
Gm14505	0	0	0	0
Gm14506	12	14	10	22
Gm14507	0	0	0	0
Gm14508	20	35	25	24
Gm14509	0	0	0	1
Gm14510	0	0	0	0
Gm14512	0	0	0	0
Gm14513	1	2	2	0
Gm14514	0	0	0	0
Gm14515	0	0	0	0
Gm14516	1	1	0	0
Gm14517	0	0	0	0
Gm14518	0	0	0	0
Gm14519	2	3	1	1
Gm14520	0	0	0	0
Gm14521	2	0	2	3
Gm14523	2	0	2	3
Gm14524	0	0	0	1
Gm14525	0	0	0	0
Gm14527	0	0	0	0
Gm14528	0	0	0	0
Gm14529	0	0	0	0
Gm14530	0	0	0	0
Gm14531	0	0	0	0
Gm14532	0	0	1	3
Gm14533	0	0	0	0
Gm14534	0	0	0	0
Gm14536	0	0	0	0
Gm14537	1	1	3	1
Gm14538	1	0	0	0
Gm14539	18	19	24	27
Gm14540	0	0	0	3
Gm14541	0	1	1	0
Gm14542	0	0	0	0
Gm14546	0	0	1	0
Gm14547	0	0	0	0
Gm14548	0	1	2	0
Gm14549	34	16	19	27
Gm14550	0	0	0	0
Gm14551	0	0	0	0
Gm14552	0	0	0	0
Gm14553	0	2	1	1
Gm14554	0	0	0	0
Gm14558	0	0	0	0
Gm14559	0	0	0	0
Gm14560	0	0	0	0
Gm14561	0	0	0	0
Gm14562	0	0	0	0
Gm14563	0	0	0	0
Gm14564	0	0	0	0
Gm14565	2	0	0	0
Gm14566	0	0	0	0
Gm14567	3	1	4	0
Gm14568	0	0	0	0
Gm14569	9	10	5	6
Gm14570	0	0	0	0
Gm14571	1	1	0	1
Gm14573	0	0	1	1
Gm14574	0	0	0	0
Gm14575	0	0	0	0
Gm14576	18	12	8	21
Gm14577	0	0	0	0
Gm14578	0	0	0	0
Gm14579	0	0	0	0
Gm14580	0	0	0	0
Gm14581	1	0	0	0
Gm14582	1	0	4	1
Gm14584	23	4	3	21
Gm14585	0	0	0	0
Gm14586	137	139	112	134
Gm14587	0	0	0	0
Gm14588	0	0	0	0
Gm14589	0	0	0	0
Gm14590	0	0	0	0
Gm14591	0	1	2	1
Gm14592	0	0	0	0
Gm14593	0	0	0	0
Gm14594	0	0	0	0
Gm14595	0	0	0	0
Gm14596	0	0	0	0
Gm14597	204	158	94	70
Gm14598	0	0	0	0
Gm14599	0	0	0	0
Gm14600	0	0	0	0
Gm14601	0	0	0	0
Gm14602	0	0	0	0
Gm14603	0	0	0	0
Gm14605	0	0	0	0
Gm14606	0	0	0	0
Gm14607	0	0	0	0
Gm14608	0	0	0	0
Gm14609	0	0	0	0
Gm14610	0	0	0	0
Gm14612	0	1	0	0
Gm14613	0	0	0	0
Gm14614	0	0	0	0
Gm14615	1	1	1	0
Gm14616	0	0	0	0
Gm14617	0	1	1	0
Gm14618	0	0	0	0
Gm14619	0	0	0	0
Gm14620	0	0	0	0
Gm14621	0	0	0	0
Gm14622	0	0	0	0
Gm14623	0	0	0	0
Gm14624	0	0	0	0
Gm14625	0	0	0	0
Gm14626	0	0	0	0
Gm14627	0	0	0	0
Gm14628	0	0	0	0
Gm14629	0	0	0	0
Gm14630	0	0	1	0
Gm14631	0	0	0	0
Gm14632	0	0	0	0
Gm14633	1	0	1	1
Gm14634	29	20	26	21
Gm14635	129	66	106	90
Gm14636	2	0	0	1
Gm14637	0	0	0	1
Gm14638	0	0	0	0
Gm14639	0	0	0	2
Gm14640	0	0	0	0
Gm14641	26	6	11	16
Gm14642	0	0	0	0
Gm14643	0	0	0	0
Gm14644	0	0	0	0
Gm14645	0	0	0	0
Gm14647	0	0	0	0
Gm14648	0	2	2	2
Gm14649	0	0	0	0
Gm14650	1	0	1	1
Gm14651	0	0	0	0
Gm14652	0	0	0	0
Gm14653	0	0	0	0
Gm14654	0	1	0	0
Gm14655	0	0	0	0
Gm14656	0	0	0	0
Gm14657	0	0	0	0
Gm14659	0	0	0	0
Gm14660	0	0	0	0
Gm14661	9	8	17	4
Gm14662	0	0	1	1
Gm14663	0	0	0	0
Gm14664	62	34	62	42
Gm14665	0	0	0	0
Gm14666	0	0	0	0
Gm14667	0	0	0	0
Gm14668	0	0	0	0
Gm14669	0	0	0	0
Gm14670	0	0	0	0
Gm14671	7	3	3	4
Gm14673	0	0	0	0
Gm14674	0	2	0	0
Gm14676	0	0	0	0
Gm14677	0	0	0	0
Gm14678	0	0	0	0
Gm14679	0	0	0	2
Gm14681	67	64	53	54
Gm14682	0	0	0	0
Gm14684	0	0	0	0
Gm14685	0	0	0	0
Gm14686	0	0	0	0
Gm14687	0	0	0	0
Gm14688	0	0	0	0
Gm14692	0	0	0	0
Gm14694	0	0	0	1
Gm14695	0	0	0	0
Gm14696	0	0	0	0
Gm14697	0	0	0	0
Gm14698	4	9	3	6
Gm14699	0	0	0	0
Gm14701	0	0	0	0
Gm14703	6	6	2	7
Gm14704	0	0	0	0
Gm14705	49	42	44	58
Gm14706	1	2	0	0
Gm14707	1	0	0	0
Gm14709	0	0	0	0
Gm14710	0	0	0	0
Gm14711	0	0	0	1
Gm14712	0	0	0	0
Gm14713	0	0	0	0
Gm14714	0	0	0	0
Gm14715	0	0	0	0
Gm14716	0	0	0	0
Gm14717	2	1	0	2
Gm14718	1	2	4	3
Gm14719	3	7	2	5
Gm14721	0	0	0	0
Gm14722	0	0	0	0
Gm14723	0	0	0	0
Gm14724	1	0	0	0
Gm14725	0	0	0	0
Gm14726	0	0	0	0
Gm14727	0	0	0	0
Gm14728	0	0	0	0
Gm14729	0	0	0	0
Gm14730	5	8	6	6
Gm14731	0	0	0	0
Gm14732	0	0	0	0
Gm14733	0	0	0	0
Gm14735	0	0	0	0
Gm14736	4	3	3	3
Gm14739	0	0	0	0
Gm14740	0	0	0	0
Gm14741	0	0	0	0
Gm14742	0	0	0	0
Gm14743	0	0	0	0
Gm14744	0	0	0	0
Gm14745	0	0	0	0
Gm14746	0	0	0	0
Gm14747	0	0	0	0
Gm14748	0	0	0	0
Gm14749	2	2	4	0
Gm14750	0	0	0	0
Gm14751	0	0	0	0
Gm14752	0	0	0	0
Gm14753	0	0	0	0
Gm14754	0	0	0	0
Gm14755	0	0	0	0
Gm14756	0	0	0	0
Gm14758	0	0	0	0
Gm14760	0	1	0	1
Gm14761	0	0	0	0
Gm14762	1	0	1	0
Gm14764	0	0	0	0
Gm14765	0	0	0	0
Gm14766	0	4	4	1
Gm14767	0	0	0	0
Gm14768	0	0	0	0
Gm14769	1	0	1	0
Gm14770	0	0	0	0
Gm14771	0	0	0	0
Gm14772	0	0	0	0
Gm14773	0	0	0	0
Gm14774	0	0	0	0
Gm14775	0	0	0	0
Gm14776	0	0	0	0
Gm14777	0	0	0	0
Gm14780	8	6	5	5
Gm14781	0	0	0	0
Gm14782	0	0	0	0
Gm14783	0	0	0	0
Gm14784	0	0	0	0
Gm14785	0	0	0	0
Gm14786	0	0	0	0
Gm14787	0	0	0	0
Gm14788	0	1	1	2
Gm14790	1	1	1	1
Gm14791	0	0	0	0
Gm14792	0	0	0	0
Gm14793	0	0	0	0
Gm14794	0	0	0	0
Gm14795	0	0	0	0
Gm14796	0	0	0	0
Gm14797	0	0	0	0
Gm14798	1	0	3	2
Gm14799	0	0	0	0
Gm14800	0	0	0	0
Gm14802	0	0	0	0
Gm14803	0	0	0	0
Gm14804	0	0	0	0
Gm14805	0	0	0	0
Gm14806	0	0	0	0
Gm14807	0	0	0	0
Gm14808	10	11	11	12
Gm14809	1	3	1	2
Gm14810	2	3	3	0
Gm14811	0	0	0	0
Gm14812	9	11	14	19
Gm14813	1	0	3	2
Gm14815	0	1	0	0
Gm14816	0	0	0	0
Gm14817	3	1	3	7
Gm14819	0	0	0	0
Gm14820	365	184	372	283
Gm14821	0	0	0	0
Gm14822	4	3	2	5
Gm14823	0	0	0	0
Gm14824	0	0	0	0
Gm14825	0	0	0	0
Gm14826	0	0	0	0
Gm14827	7	3	3	7
Gm14828	0	0	0	0
Gm14829	0	0	1	1
Gm14830	2	2	0	1
Gm14831	0	0	0	0
Gm14832	0	0	0	0
Gm14833	0	0	0	0
Gm14834	0	1	1	0
Gm14835	0	0	0	0
Gm14836	0	0	0	0
Gm14837	0	0	0	0
Gm14838	0	0	2	0
Gm14839	0	0	0	0
Gm14840	0	0	1	0
Gm14841	0	0	0	0
Gm14842	0	0	0	0
Gm14843	0	1	1	1
Gm14845	0	0	0	0
Gm14846	1	0	0	0
Gm14847	0	0	0	0
Gm14848	0	0	0	0
Gm14849	0	0	0	0
Gm14852	0	0	0	0
Gm14853	0	3	2	3
Gm14854	0	0	0	0
Gm14855	0	0	0	0
Gm14856	0	0	0	0
Gm14857	3	2	3	7
Gm14858	3	2	5	3
Gm14859	1	0	0	0
Gm14860	1	0	4	1
Gm14861	0	0	0	0
Gm14862	5	4	1	7
Gm14863	2	1	0	0
Gm14864	0	0	0	0
Gm14865	0	0	0	0
Gm14866	7	0	6	8
Gm14867	0	0	0	0
Gm14868	0	0	0	0
Gm14869	0	1	0	1
Gm14870	0	1	0	0
Gm14871	1	0	0	0
Gm14874	1	0	1	1
Gm14875	0	0	0	0
Gm14876	0	0	0	0
Gm14877	0	0	0	0
Gm14878	0	0	0	0
Gm14879	0	0	0	0
Gm14880	0	0	0	0
Gm14881	0	0	0	0
Gm14882	0	0	0	0
Gm14883	0	0	0	0
Gm14884	1	0	0	0
Gm14885	0	0	0	0
Gm14886	0	0	0	0
Gm14887	0	0	0	0
Gm14890	1	0	0	0
Gm14891	0	0	0	0
Gm14892	0	0	0	0
Gm14893	1	0	0	1
Gm14894	0	0	0	0
Gm14895	0	1	0	0
Gm14896	0	0	0	0
Gm14897	0	0	0	0
Gm14898	0	0	0	0
Gm14899	0	0	0	0
Gm14900	0	0	0	0
Gm14901	0	0	0	0
Gm14902	0	0	0	0
Gm14903	0	0	0	0
Gm14904	0	0	0	0
Gm14905	0	0	0	0
Gm14906	0	0	0	0
Gm14907	0	0	0	0
Gm14908	0	0	0	0
Gm14909	0	0	0	0
Gm14910	0	0	0	0
Gm14911	0	0	0	0
Gm14912	0	0	0	0
Gm14913	0	0	0	0
Gm14914	0	0	0	0
Gm14915	0	0	0	0
Gm14916	0	0	0	0
Gm14917	0	0	0	0
Gm14918	0	0	0	0
Gm14919	0	0	0	0
Gm14921	0	0	0	0
Gm14922	0	0	0	0
Gm14923	0	0	0	0
Gm14925	0	0	0	0
Gm14926	0	0	0	0
Gm14927	0	0	1	0
Gm14928	2	1	2	1
Gm14929	0	0	0	0
Gm14930	0	0	0	0
Gm14931	0	0	0	0
Gm14932	0	0	0	0
Gm14933	0	0	0	0
Gm14935	3	0	4	3
Gm14936	0	0	0	1
Gm14937	0	0	0	0
Gm14938	0	0	0	0
Gm14939	0	0	0	0
Gm14940	0	0	0	0
Gm14942	0	0	3	3
Gm14943	0	0	0	0
Gm14945	0	0	0	0
Gm14946	0	0	0	0
Gm14947	0	0	0	0
Gm14950	0	0	0	0
Gm14951	0	0	0	0
Gm14957	0	0	0	0
Gm14963	4	8	6	2
Gm14964	2	9	2	3
Gm14965	0	0	0	0
Gm14966	12	15	17	13
Gm14968	0	1	0	0
Gm14970	0	0	0	0
Gm14971	1	0	0	0
Gm14972	0	0	0	0
Gm14973	0	0	0	0
Gm14974	0	0	0	0
Gm14975	0	0	0	0
Gm14976	0	0	0	0
Gm14977	0	0	0	0
Gm14978	0	1	0	0
Gm14979	0	0	0	0
Gm14980	0	0	0	0
Gm14981	0	0	0	0
Gm14982	0	0	0	0
Gm14983	0	0	0	0
Gm14984	0	0	0	0
Gm14985	0	0	0	0
Gm14986	0	0	0	0
Gm14987	0	0	0	0
Gm14988	0	0	0	0
Gm14989	0	0	0	0
Gm14990	0	0	0	0
Gm14991	0	0	0	0
Gm14992	0	0	0	0
Gm14993	0	0	0	0
Gm14994	0	0	0	0
Gm14995	0	0	0	0
Gm14996	0	0	0	0
Gm14997	0	0	0	0
Gm14998	0	0	0	0
Gm14999	0	0	0	0
Gm15000	0	0	0	0
Gm15001	0	0	0	0
Gm15002	0	0	0	0
Gm15003	0	0	0	0
Gm15004	0	0	0	0
Gm15005	0	0	0	0
Gm15006	0	0	0	0
Gm15007	0	0	0	0
Gm15008	0	1	2	3
Gm15009	0	0	0	0
Gm15010	0	0	0	0
Gm15011	1	0	0	0
Gm15012	0	0	0	0
